0,000	1,34
0,070	1,08
0,140	0,86
0,209	0,65
0,262	0,47
0,332	0,35
0,401	0,24
0,471	0,2
0,541	0,16
0,611	0,17
0,681	0,21
0,750	0,29
0,803	0,39
0,873	0,53
0,942	0,7
1,012	0,91
1,082	1,11
1,152	1,39
1,222	1,65
1,274	1,93
1,344	2,2
1,414	2,52
1,484	2,77
1,553	3,06
1,623	3,34
1,693	3,64
1,763	3,84
1,815	4,03
1,885	4,17
1,955	4,29
2,025	4,38
2,094	4,43
2,164	4,43
2,234	4,39
2,286	4,29
2,356	4,23
2,426	4,06
2,496	3,9
2,566	3,66
2,635	3,37
2,705	3,08
2,775	2,82
2,827	2,5
2,897	2,21
2,967	1,91
3,037	1,64
3,107	1,36
